Stock Name,Sector,Value (Cr),Weightage,1M HLD Chg
Treps - Tri-Party Repo,,5879.18,6.38%,--
Max Financial Services Ltd,Financial Services,4390.20,4.76%,0.00%
AU Small Finance Bank Ltd,Financial Services,3744.68,4.06%,3.98%
The Federal Bank Ltd,Financial Services,3296.86,3.58%,0.00%
Indian Bank,Financial Services,3207.26,3.48%,0.00%
Balkrishna Industries Ltd,Consumer Cyclical,3053.36,3.31%,0.00%
Coforge Ltd,Technology,2981.50,3.23%,0.00%
Ipca Laboratories Ltd,Healthcare,2593.34,2.81%,0.55%
Fortis Healthcare Ltd,Healthcare,2558.23,2.78%,0.00%
Hindustan Petroleum Corp Ltd,Energy,2540.54,2.76%,0.00%
Glenmark Pharmaceuticals Ltd,Healthcare,2459.23,2.67%,0.00%
Mahindra & Mahindra Financial Services Ltd,Financial Services,2304.55,2.50%,0.00%
Apollo Tyres Ltd,Consumer Cyclical,2153.26,2.34%,0.00%
Persistent Systems Ltd,Technology,2120.52,2.30%,0.00%
Vishal Mega Mart Ltd,Consumer Cyclical,2095.82,2.27%,2.43%
Tata Communications Ltd,Communication Services,2023.60,2.20%,0.00%
Cummins India Ltd,Industrials,2014.88,2.19%,1.12%
Marico Ltd,Consumer Defensive,1945.95,2.11%,2.37%
Aurobindo Pharma Ltd,Healthcare,1637.00,1.78%,0.00%
Jindal Steel Ltd,Basic Materials,1565.95,1.70%,-1.89%
Union Bank of India,Financial Services,1484.97,1.61%,0.00%
Bosch Ltd,Consumer Cyclical,1337.22,1.45%,0.54%
PB Fintech Ltd,Financial Services,1293.94,1.40%,0.00%
Delhivery Ltd,Industrials,1293.08,1.40%,0.00%
AIA Engineering Ltd,Industrials,1285.57,1.39%,0.00%
Dabur India Ltd,Consumer Defensive,1254.94,1.36%,0.00%
Mphasis Ltd,Technology,1246.48,1.35%,6.01%
Indian Hotels Co Ltd,Consumer Cyclical,1144.04,1.24%,-8.89%
Hexaware Technologies Ltd Ordinary Shares,Technology,1124.22,1.22%,0.00%
Eternal Ltd,Consumer Cyclical,1078.87,1.17%,0.00%
Coromandel International Ltd,Basic Materials,1051.38,1.14%,3.31%
Gland Pharma Ltd,Healthcare,1031.16,1.12%,0.00%
Alkem Laboratories Ltd,Healthcare,1024.99,1.11%,16.63%
Indraprastha Gas Ltd,Utilities,1019.67,1.11%,0.26%
Star Health and Allied Insurance Co Ltd,Financial Services,1005.34,1.09%,0.11%
Redington Ltd,Technology,996.83,1.08%,0.00%
Karur Vysya Bank Ltd,Financial Services,984.49,1.07%,0.00%
Bharat Forge Ltd,Consumer Cyclical,922.82,1.00%,0.00%
Escorts Kubota Ltd,Industrials,904.08,0.98%,1.11%
ACC Ltd,Basic Materials,878.28,0.95%,0.00%
Nippon Life India Asset Management Ltd Ordinary Shares,Financial Services,869.93,0.94%,0.00%
IndusInd Bank Ltd,Financial Services,792.10,0.86%,0.00%
Godrej Consumer Products Ltd,Consumer Defensive,778.55,0.84%,17.25%
Crompton Greaves Consumer Electricals Ltd,Consumer Cyclical,763.33,0.83%,0.00%
Dixon Technologies (India) Ltd,Technology,750.91,0.81%,0.00%
City Union Bank Ltd,Financial Services,706.22,0.77%,0.00%
Timken India Ltd,Industrials,691.96,0.75%,2.02%
Sundaram Fasteners Ltd,Consumer Cyclical,674.07,0.73%,0.00%
SKF India (Industrial) Limited **,,637.29,0.69%,0.00%
KEC International Ltd,Industrials,619.39,0.67%,0.00%
United Spirits Ltd,Consumer Defensive,576.67,0.63%,0.00%
Supreme Industries Ltd,Industrials,562.17,0.61%,0.00%
Sona BLW Precision Forgings Ltd,Consumer Cyclical,503.26,0.55%,9.48%
Gujarat Fluorochemicals Ltd Ordinary Shares,Basic Materials,474.70,0.52%,0.00%
SKF India Ltd,Industrials,450.75,0.49%,0.00%
Cholamandalam Financial Holdings Ltd,Financial Services,418.09,0.45%,0.00%
Emami Ltd,Consumer Defensive,393.60,0.43%,0.00%
Greenlam Industries Ltd,Consumer Cyclical,376.51,0.41%,-0.40%
Vesuvius India Ltd,Industrials,351.55,0.38%,0.00%
Ceat Ltd,Consumer Cyclical,351.22,0.38%,0.00%
Symphony Ltd,Consumer Cyclical,319.89,0.35%,0.00%
Vardhman Textiles Ltd,Consumer Cyclical,317.97,0.34%,0.00%
Aarti Industries Ltd,Basic Materials,295.56,0.32%,0.00%
Arvind Ltd,Consumer Cyclical,287.35,0.31%,0.00%
Oracle Financial Services Software Ltd,Technology,276.16,0.30%,0.00%
ICICI Lombard General Insurance Co Ltd,Financial Services,259.38,0.28%,0.00%
Bharti Hexacom Ltd,Communication Services,241.45,0.26%,0.00%
Navneet Education Ltd,Communication Services,229.33,0.25%,0.00%
Five-Star Business Finance Ltd,Financial Services,228.06,0.25%,0.00%
Colgate-Palmolive (India) Ltd,Consumer Defensive,173.92,0.19%,0.00%
KNR Constructions Ltd,Industrials,169.55,0.18%,-35.13%
LG Electronics India Ltd,Technology,166.74,0.18%,0.00%
Billionbrains Garage Ventures Ltd,Financial Services,161.25,0.17%,--
Greenply Industries Ltd,Basic Materials,153.10,0.17%,0.00%
Dhanuka Agritech Ltd,Basic Materials,128.74,0.14%,0.00%
Greenpanel Industries Ltd Ordinary Shares,Basic Materials,128.56,0.14%,0.00%
Net Current Assets,,-92.09,0.10%,--
Jagran Prakashan Ltd,Communication Services,53.36,0.06%,0.00%

